t_rel,PV,MV_pct
2.2,37.300000000000004,0.0
4.5,37.2,100.0
6.7,37.2,100.0
8.9,37.2,100.0
11.1,37.2,100.0
13.3,37.300000000000004,100.0
15.6,37.300000000000004,100.0
17.8,37.2,100.0
20.0,37.2,100.0
22.3,37.300000000000004,100.0
24.5,37.300000000000004,100.0
26.7,37.2,100.0
29.0,37.2,100.0
31.2,37.300000000000004,100.0
33.4,37.2,100.0
35.7,37.2,100.0
37.9,37.2,100.0
40.1,37.2,100.0
42.4,37.300000000000004,100.0
44.6,37.300000000000004,100.0
46.8,37.300000000000004,100.0
49.1,37.2,100.0
51.3,37.300000000000004,100.0
53.6,37.2,100.0
55.8,37.300000000000004,100.0
58.1,37.300000000000004,100.0
60.3,37.300000000000004,100.0
62.6,37.300000000000004,100.0
64.8,37.4,100.0
67.1,37.4,100.0
69.3,37.300000000000004,100.0
71.6,37.5,100.0
73.8,37.4,100.0
76.1,37.5,100.0
78.3,37.5,100.0
80.6,37.4,100.0
82.8,37.4,100.0
85.1,37.5,100.0
87.3,37.5,100.0
89.6,37.5,100.0
91.8,37.5,100.0
94.1,37.6,100.0
96.3,37.6,100.0
98.6,37.5,100.0
100.8,37.6,100.0
103.0,37.7,100.0
105.3,37.7,100.0
107.5,37.7,100.0
109.8,37.6,100.0
112.0,37.7,100.0
114.3,37.800000000000004,100.0
116.6,37.800000000000004,100.0
118.8,37.800000000000004,100.0
121.0,37.800000000000004,100.0
123.3,37.800000000000004,100.0
125.6,37.9,100.0
127.8,37.9,100.0
130.0,37.9,100.0
132.3,37.9,100.0
134.5,38.0,100.0
136.8,38.0,100.0
139.0,38.0,100.0
141.3,38.2,100.0
143.5,38.1,100.0
145.8,38.1,100.0
148.0,38.1,100.0
150.3,38.2,100.0
152.5,38.300000000000004,100.0
154.8,38.300000000000004,100.0
157.1,38.300000000000004,100.0
159.3,38.300000000000004,100.0
161.5,38.300000000000004,100.0
163.8,38.400000000000006,100.0
166.1,38.5,100.0
168.3,38.5,100.0
170.5,38.6,100.0
172.8,38.5,100.0
175.0,38.6,100.0
177.3,38.6,100.0
179.5,38.7,100.0
181.8,38.7,100.0
184.1,38.7,75.83984375
186.3,38.800000000000004,75.83984375
188.6,38.800000000000004,23.72265625
190.8,38.900000000000006,18.140625
193.1,38.900000000000006,18.140625
195.3,39.0,0.0
197.6,39.0,0.0
199.8,39.0,0.0
202.1,39.0,0.0
204.3,39.1,5.08203125
